title,author,copies,genre,year
To Kill a Mockingbird,Harper Lee,2,Fiction,1960
1984,George Orwell,5,Dystopian,1949
Pride and Prejudice,Jane Austen,3,Romance,1813
Crime and Punishment,Fyodor Dostoevsky,1,Psychological Drama,1866
The Divine Comedy,Dante Alighieri,1,Epic Poetry,1320
Anna Karenina,Leo Tolstoy,2,Fiction,1877
The Iliad,Homer,1,Epic Poetry,-750
Invisible Man,Ralph Ellison,1,Fiction,1952
Beloved,Toni Morrison,3,Historical Fiction,1987
Slaughterhouse-Five,Kurt Vonnegut,2,Science Fiction,1969
Heart of Darkness,Joseph Conrad,3,Adventure,1899
Of Mice and Men,John Steinbeck,1,Tragedy,1937
The Hobbit,J.R.R. Tolkien,4,Fantasy,1937
The Lord of the Rings,J.R.R. Tolkien,2,Fantasy,1954
A Game of Thrones,George R.R. Martin,5,Fantasy,1996
Mistborn: The Final Empire,Brandon Sanderson,4,Fantasy,2006
The Odyssey,Homer,2,Epic Poetry,-800
